"Date       Price Open High Low  Vol.   Change %"
"01-12-2023  6128 6425 6425 5765 1.47K  -4.43%"
"01-11-2023  6412 6891 6891 6110 11.15K -5.66%"
"01-10-2023  6797 7200 7298   62 2.88M  -7.41%"
"01-09-2023  7341 6985 7574 6985 0.43K  9.49%"
"01-08-2023  6705 6655 6958 6539 0.81K  1.50%"
"01-07-2023  6606 5857 6611 5838 1.00K  13.66%"
"01-06-2023  5812 5702 6120 5620 2.09K  -0.03%"
"01-05-2023  5814 6000 6116 5690 1.64K  -5.80%"
"01-04-2023  6172 6538 6812 6484 0.81K  -0.06%"
"01-03-2023  6176 6292 6320 5414 2.05K  -2.91%"
"01-02-2023  6361 6386 6720 6135 0.92K  -2.41%"
"01-01-2023  6518 6299 6760 6169 1.23K  -0.56%"
"01-12-2022  6555 6581 6761 5994 2.27K  -0.83%"
"01-11-2022  6610 7411 7430 6280 2.96K  -6.73%"
"01-10-2022  7087 6616 7605 6616 2.22K  8.55%"
"01-09-2022  6529 7100 7160 6410 2.75K  -9.48%"
"01-08-2022  7213 7473 7669 6840 2.57K  -6.64%"
"01-07-2022  7726 8176 8206 6966 2.38K  -7.83%"
"01-06-2022  8382 8559 9227 8003 2.82K  -4.11%"
"01-05-2022  8741 7727 8870 7528 3.72K  10.79%"
"01-04-2022  7890 7397 8312 7095 1.88K  4.75%"
"01-03-2022  7532 7710 9315 7014 4.45K  8.44%"
"01-02-2022  6946 6450 7134 6450 3.61K  8.01%"
"01-01-2022  6431 5810 6540 5810 3.41K  12.71%"
"01-12-2021  5706 4912 5725 4912 1.92K  11.62%"
"01-11-2021  5112 6055 6105 5112 1.13K  -17.16%"
"01-10-2021  6171 6028 6231 5750 1.17K  11.03%"
"01-09-2021  5558 4930 5358 4930 0.51K  9.71%"
"01-08-2021  5066 5425 5425 4671 0.98K  -5.87%"
"01-07-2021  5382 5334 5380 4932 0.67K  0.30%"
"01-06-2021  5366 5071 5410 4980 0.77K  10.30%"
"01-05-2021  4865 4851 4926 4588 0.80K  0.48%"
"01-04-2021  4842 4576 4785 4510 0.32K  8.08%"
"01-03-2021  4480 4712 4847 4340 0.17K  -3.30%"
"01-02-2021  4633 4439 4495 4102 0.16K  19.44%"
"01-01-2021  3879 3879 3879 3879        4.02%"
"01-12-2020  3729 3729 3729 3729        8.94%"
"01-11-2020  3423 3200 3211 3130 0.02K  23.44%"
"01-10-2020  2773 3033 3067 3022 0.03K  -6.44%"
"01-09-2020  2964 3117 3127 2821 0.06K  -8.26%"
"01-08-2020  3231 3231 3231 3231        5.59%"
"01-07-2020  3060 3060    0    0        0.26%"
"01-06-2020  3052 2775 3130 2718 0.23K  14.05%"
"01-05-2020  2676 1911 2646 1854 0.63K  45.59%"
"01-04-2020  1838 2156 2625 1655 4.81K  -16.34%"
"01-03-2020  2197 3400 3620 1875 2.86K  -34.06%"
"01-02-2020  3332 3700 3905 3280 2.54K  -10.65%"
"01-01-2020  3729 4500 4604 3708 1.91K  -15.11%"
"01-12-2019  4393 4210 4340 4170 1.35K  7.12%"
"01-11-2019  4101 3906 4185 3898 1.81K  5.53%"
"01-10-2019  3886 3911 4016 3696 1.62K  -1.72%"
"01-09-2019  3954 3927 4504 3864 3.41K  -0.15%"
"01-08-2019  3960 4030 4074 3643 1.81K  -2.54%"
"01-07-2019  4063 4112 4200 3807 0.96K  -1.93%"
"01-06-2019  4143 3780 4176 3604 1.15K  1.05%"
"01-05-2019  4100 4421 4512 4240 0.38K  -9.25%"
"01-04-2019  4518 4367 4694 4314 0.41K  7.55%"
"01-03-2019  4201 4119 4201 3932 0.43K  1.99%"
"01-02-2019  4119 3919 4191 3750 0.62K  4.12%"
"01-01-2019  3956 3283 3990 3232 1.02K  19.34%"
"01-12-2018  3315 3725 3920 3090 1.15K  -7.45%"
"01-11-2018  3582 4853 4853 3507 0.95K  -27.18%"
"01-10-2018  4919 5379 5665 4874 0.99K  -7.08%"
"01-09-2018  5294 4939 5370 4822 1.59K  6.76%"
"01-08-2018  4959 4635 4987 4542 0.99K  5.56%"
"01-07-2018  4698 4861 4946 4513 5.11K  -4.80%"
"01-06-2018  4935 4507 4947 4339 2.62K  8.70%"
"01-05-2018  4540 4528 4958 4479 2.15K  -0.92%"
"01-04-2018  4582 4252 4600 4047 1.75K  8.63%"
"01-03-2018  4218 4033 4305 3943 2.98K  3.41%"
"01-02-2018  4079 4128 4235 3752 2.32K  -0.78%"
"01-01-2018  4111 3843 4215 3835 1.45K  6.23%"
