"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","686.25","684.80","689.90","673.50","461.14K","0.21%"
"12/28/2023","684.80","680.85","688.80","679.25","556.32K","1.02%"
"12/27/2023","677.90","678.00","683.05","668.65","712.86K","0.45%"
"12/26/2023","674.85","654.00","680.00","651.40","1.13M","4.00%"
"12/22/2023","648.90","656.70","656.70","636.05","1.11M","-0.15%"
"12/21/2023","649.85","650.00","659.85","630.90","1.70M","-0.06%"
"12/20/2023","650.25","671.60","674.50","649.00","1.53M","-2.07%"
"12/19/2023","664.00","677.85","680.65","662.15","2.17M","-2.54%"
"12/18/2023","681.30","694.40","697.25","678.00","1.52M","-1.00%"
"12/15/2023","688.20","704.35","704.35","685.05","2.48M","-2.29%"
"12/14/2023","704.35","727.90","728.00","700.60","2.95M","-2.57%"
"12/13/2023","722.90","700.55","727.90","698.00","2.02M","3.35%"
"12/12/2023","699.50","692.00","701.70","687.70","2.15M","1.80%"
"12/11/2023","687.10","688.00","688.95","677.05","2.21M","1.31%"
"12/08/2023","678.20","668.85","682.20","665.45","1.59M","1.40%"
"12/07/2023","668.85","658.20","672.30","652.00","925.54K","1.91%"
"12/06/2023","656.30","667.05","674.25","654.30","1.64M","-3.92%"
"12/05/2023","683.05","704.65","704.65","676.00","2.10M","-1.21%"
"12/04/2023","691.40","658.50","709.00","651.05","2.29M","5.99%"
"12/01/2023","652.35","628.75","654.80","622.30","2.24M","2.60%"
"11/30/2023","635.80","610.00","665.70","610.00","4.83M","3.68%"
"11/29/2023","613.25","608.10","620.05","606.10","1.33M","1.93%"
"11/28/2023","601.65","611.05","620.10","599.15","1.16M","-1.81%"
"11/24/2023","612.75","614.00","622.65","610.50","406.45K","-0.55%"
"11/23/2023","616.15","619.75","625.10","611.40","317.53K","-0.07%"
"11/22/2023","616.60","605.20","620.95","600.45","1.28M","2.04%"
"11/21/2023","604.30","618.15","619.00","602.95","1.40M","-2.78%"
"11/20/2023","621.55","612.00","633.20","609.85","1.18M","2.27%"
"11/17/2023","607.75","616.90","623.65","605.40","1.27M","-1.24%"
"11/16/2023","615.40","601.80","619.95","599.65","2.08M","2.71%"
"11/15/2023","599.15","599.90","600.95","590.10","1.59M","1.08%"
"11/13/2023","592.75","592.00","600.00","591.05","553.68K","-0.59%"
"11/12/2023","596.25","598.60","599.85","594.35","57.24K","0.57%"
"11/10/2023","592.90","593.25","596.60","586.20","589.49K","-0.06%"
"11/09/2023","593.25","591.50","596.85","585.40","684.64K","0.45%"
"11/08/2023","590.60","598.00","599.50","583.95","1.13M","-1.15%"
"11/07/2023","597.45","593.00","601.90","586.05","1.21M","0.58%"
"11/06/2023","594.00","582.95","609.00","570.00","1.44M","2.74%"
"11/03/2023","578.15","585.45","585.45","572.05","1.79M","-0.56%"
"11/02/2023","581.40","578.95","589.00","576.00","783.30K","0.86%"
"11/01/2023","576.45","574.95","583.95","569.05","941.97K","0.47%"
"10/31/2023","573.75","581.00","593.55","571.00","888.78K","-0.42%"
"10/30/2023","576.15","563.50","581.95","562.00","1.50M","2.19%"
"10/27/2023","563.80","558.80","568.70","546.00","2.56M","2.69%"
"10/26/2023","549.05","562.00","562.00","538.65","1.92M","-3.52%"
"10/25/2023","569.10","580.05","580.95","549.10","2.72M","-1.51%"
"10/23/2023","577.85","585.00","585.20","573.65","671.46K","-1.06%"
"10/20/2023","584.05","579.90","586.40","570.65","862.44K","0.72%"
"10/19/2023","579.90","576.90","597.95","574.60","2.95M","0.35%"
"10/18/2023","577.90","579.90","583.60","575.55","862.25K","0.70%"
"10/17/2023","573.90","582.00","584.00","571.25","822.91K","-0.44%"
"10/16/2023","576.45","582.90","589.25","573.60","1.23M","-1.09%"
"10/13/2023","582.80","581.80","595.00","578.60","1.16M","0.33%"
"10/12/2023","580.90","578.90","597.70","577.45","1.90M","1.21%"
"10/11/2023","573.95","563.70","586.85","562.60","2.90M","3.41%"
"10/10/2023","555.00","570.35","571.85","552.00","2.64M","-2.39%"
"10/09/2023","568.60","554.90","575.10","553.25","1.05M","1.41%"
"10/06/2023","560.70","564.00","567.80","558.00","1.59M","-0.32%"
"10/05/2023","562.50","575.00","575.90","560.00","753.39K","-1.35%"
"10/04/2023","570.20","590.00","590.00","563.35","1.64M","-3.71%"
"10/03/2023","592.20","568.95","601.00","562.95","3.02M","4.37%"
"09/29/2023","567.40","569.95","574.70","558.70","1.68M","-0.39%"
"09/28/2023","569.60","578.75","581.00","563.20","1.09M","-0.70%"
"09/27/2023","573.60","570.65","578.80","563.65","927.35K","1.33%"
"09/26/2023","566.05","558.00","569.75","550.95","964.76K","1.78%"
"09/25/2023","556.15","543.45","561.55","531.05","2.25M","2.37%"
"09/22/2023","543.25","555.85","559.40","538.50","2.15M","-2.34%"
"09/21/2023","556.25","554.70","565.55","547.55","1.55M","0.38%"
"09/20/2023","554.15","570.00","572.00","551.25","2.16M","-3.53%"
"09/18/2023","574.40","572.45","582.40","565.60","1.31M","0.34%"
"09/15/2023","572.45","585.00","596.80","567.20","4.63M","-1.97%"
"09/14/2023","583.95","586.70","588.80","582.10","1.20M","0.21%"
"09/13/2023","582.70","611.00","611.50","577.35","3.43M","-5.78%"
"09/12/2023","618.45","628.00","628.00","605.00","3.42M","-0.59%"
"09/11/2023","622.15","603.00","625.00","603.00","1.44M","3.18%"
"09/08/2023","603.00","596.60","608.80","593.10","1.31M","0.01%"
"09/07/2023","602.95","585.00","606.15","585.00","1.86M","2.44%"
"09/06/2023","588.60","593.45","595.00","580.50","1.17M","-0.98%"
"09/05/2023","594.45","577.00","596.95","575.45","1.60M","3.43%"
"09/04/2023","574.75","574.00","580.90","573.00","1.74M","-0.03%"
"09/01/2023","574.95","589.55","590.00","573.00","1.24M","-2.48%"
"08/31/2023","589.55","580.00","599.00","570.65","3.06M","2.47%"
"08/30/2023","575.35","563.00","578.40","563.00","1.41M","2.36%"
"08/29/2023","562.10","560.00","569.85","559.95","2.06M","1.29%"
"08/28/2023","554.95","560.00","561.25","551.10","1.50M","0.24%"
"08/25/2023","553.60","563.30","563.30","548.00","2.23M","-1.72%"
"08/24/2023","563.30","584.55","591.20","560.25","2.65M","-2.98%"
"08/23/2023","580.60","573.00","582.95","563.05","2.23M","1.99%"
"08/22/2023","569.25","551.00","570.00","548.50","1.52M","3.31%"
"08/21/2023","551.00","530.80","554.80","530.00","1.90M","3.30%"
"08/18/2023","533.40","544.50","547.95","530.00","1.43M","-1.53%"
"08/17/2023","541.70","534.00","552.70","526.40","2.26M","1.82%"
