Date,Price,Open,High,Low,Vol.,Change %
01-12-2023,"1,159.58","1,160.00","1,178.16","1,074.00",53.10M,0.17%
01-11-2023,"1,157.63","1,077.00","1,160.00","1,049.42",41.36M,7.84%
01-10-2023,"1,073.51","1,117.38","1,138.95","1,041.11",38.35M,-3.93%
01-09-2023,"1,117.40","1,126.00","1,168.57","1,082.20",38.01M,-0.37%
01-08-2023,"1,121.57","1,127.97","1,197.94","1,118.00",69.02M,-0.58%
01-07-2023,"1,128.09","1,031.92","1,132.08","1,015.25",47.69M,9.32%
01-06-2023,"1,031.92",901.97,"1,034.99",900.21,43.68M,14.63%
01-05-2023,900.21,980.68,997.8,876.81,51.18M,-8.70%
01-04-2023,985.97,929.79,988,919.62,30.03M,6.64%
01-03-2023,924.55,863.29,931.3,859.4,36.73M,7.09%
01-02-2023,863.32,868.2,912.8,857,30.51M,-0.17%
01-01-2023,864.83,851.75,878.99,835.02,28.07M,2.04%
01-12-2022,847.51,901.92,906.4,840.2,51.99M,-5.56%
01-11-2022,897.43,887.05,929,863,51.63M,1.21%
01-10-2022,886.74,863,925,843.01,35.83M,2.26%
01-09-2022,867.14,843.2,881.4,799.4,44.26M,2.14%
01-08-2022,849.01,827.96,865.98,808,40.72M,3.78%
01-07-2022,818.07,877,922.76,811.12,55.52M,-6.91%
01-06-2022,878.76,870,883,813.21,44.51M,0.55%
01-05-2022,873.93,824.43,885.35,757.97,56.93M,5.75%
01-04-2022,826.39,859,895.53,812.2,33.90M,-3.81%
01-03-2022,859.09,812.27,877.5,730.8,88.82M,5.71%
01-02-2022,812.68,864,887.39,809.99,38.86M,-5.56%
01-01-2022,860.56,981.4,986.06,835.09,45.19M,-12.31%
01-12-2021,981.4,939.2,986.21,888.26,38.39M,4.94%
01-11-2021,935.17,937,980.2,910.3,38.62M,0.36%
01-10-2021,931.84,970.6,"1,015.40",905.21,47.02M,-4.54%
01-09-2021,976.14,947.8,999.3,937.4,47.65M,3.76%
01-08-2021,940.81,947.8,971.77,889.14,63.64M,-0.15%
01-07-2021,942.24,"1,085.20","1,122.92",932,89.41M,-13.13%
01-06-2021,"1,084.61","1,061.00","1,103.00","1,030.02",64.73M,2.15%
01-05-2021,"1,061.83","1,038.79","1,079.68","1,010.87",103.35M,2.83%
01-04-2021,"1,032.62",910,"1,058.00",884.78,152.67M,14.33%
01-03-2021,903.2,889,916.67,827,95.85M,2.02%
01-02-2021,885.31,912.01,981.99,875.4,153.63M,-3.83%
01-01-2021,920.54,"1,043.45","1,088.70",910,85.89M,-11.57%
01-12-2020,"1,041.02",974,"1,054.84",961.2,137.47M,7.79%
01-11-2020,965.79,979.2,"1,003.40",931.26,152.05M,-1.22%
01-10-2020,977.73,"1,045.00","1,064.56",966.2,226.10M,-5.77%
01-09-2020,"1,037.56",854.22,"1,102.53",846.4,446.94M,21.65%
01-08-2020,852.94,904.21,951.72,843.33,112.88M,-5.67%
01-07-2020,904.21,793.04,912,762.8,145.35M,14.60%
01-06-2020,788.99,815.52,838,777.2,103.64M,-3.10%
01-05-2020,814.25,770,826.44,722.77,121.66M,3.43%
01-04-2020,787.26,623.99,818.86,605.02,148.45M,26.13%
01-03-2020,624.15,592.2,646.39,499.01,108.01M,6.62%
01-02-2020,585.42,622.9,672.99,581.05,75.80M,-6.02%
01-01-2020,622.9,576,649.99,570.41,89.28M,8.35%
01-12-2019,574.91,583.6,589.8,554.6,49.83M,-1.35%
01-11-2019,582.77,556.8,598.39,542.46,72.06M,4.69%
01-10-2019,556.64,538,569.99,515.25,48.76M,3.00%
01-09-2019,540.45,511.67,572.4,504.56,61.66M,5.66%
01-08-2019,511.5,514.6,519.9,470.24,60.17M,-0.66%
01-07-2019,514.92,513.42,545.36,506.6,73.30M,0.95%
01-06-2019,510.09,535.96,559.69,480,65.10M,-4.78%
01-05-2019,535.67,585,592.8,508.51,84.98M,-8.71%
01-04-2019,586.75,559.79,590.7,547.38,58.10M,5.52%
01-03-2019,556.05,527.6,562.8,516.01,74.37M,5.65%
01-02-2019,526.33,543.54,575.6,374.59,158.02M,-3.28%
01-01-2019,544.16,523.62,545.71,507.46,68.91M,3.99%
01-12-2018,523.3,547.72,549.99,506.82,89.05M,-3.88%
01-11-2018,544.44,512,546.91,477.8,94.49M,7.07%
01-10-2018,508.49,506.2,522,466.4,93.03M,0.47%
01-09-2018,506.13,502,534.16,488.22,104.20M,1.55%
01-08-2018,498.4,426,504,426,80.01M,17.12%
01-07-2018,425.56,446,477.53,404,116.79M,-4.80%
01-06-2018,447.01,388,485.92,386.47,150.12M,15.41%
01-05-2018,387.32,423.28,429,377.4,62.19M,-8.21%
01-04-2018,421.97,416,436,410.86,43.52M,1.41%
01-03-2018,416.11,440.01,447.98,410.06,42.77M,-7.00%
01-02-2018,447.45,445,453.39,401.11,68.25M,0.53%
01-01-2018,445.07,482,523,440.71,71.93M,-7.82%
