Date,Price,Open,High,Low,Vol.,Change %
01-01-2023,"2,108.20","3,700.00","4,000.00","2,108.20",11.39M,-42.91%
01-12-2022,"3,692.85","3,650.95","3,999.00","3,100.10",7.01M,1.65%
01-11-2022,"3,632.75","3,620.90","3,912.40","3,501.00",5.96M,0.83%
01-10-2022,"3,602.85","3,329.90","3,658.70","2,965.65",6.48M,7.87%
01-09-2022,"3,339.85","3,684.05","3,764.95","3,251.10",9.39M,-10.82%
01-08-2022,"3,744.95","3,144.00","3,816.00","2,811.00",9.98M,19.75%
01-07-2022,"3,127.20","2,392.55","3,158.00","2,362.45",9.51M,30.69%
01-06-2022,"2,392.90","2,380.90","2,585.60","1,948.00",11.70M,-0.21%
01-05-2022,"2,397.90","2,451.00","2,624.00","2,145.00",8.87M,-2.16%
01-04-2022,"2,450.95","2,178.55","2,740.00","2,155.65",7.29M,14.01%
01-03-2022,"2,149.80","1,592.00","2,242.90","1,550.30",5.68M,35.34%
01-02-2022,"1,588.50","1,830.00","1,880.00","1,510.30",3.52M,-12.78%
01-01-2022,"1,821.25","1,685.05","1,890.00","1,685.05",3.91M,5.78%
01-12-2021,"1,721.80","1,620.00","1,987.10","1,513.15",4.45M,7.62%
01-11-2021,"1,599.85","1,374.55","1,715.00","1,374.55",8.94M,11.14%
01-10-2021,"1,439.45","1,425.00","1,483.70","1,345.00",8.03M,1.15%
01-09-2021,"1,423.15","1,525.10","1,525.10","1,267.55",9.25M,-2.02%
01-08-2021,"1,452.50",892.55,"1,452.55",843,5.53M,62.74%
01-07-2021,892.55,968.9,968.9,774.95,7.75M,-12.48%
01-06-2021,"1,019.85","1,360.00","1,679.00","1,019.85",20.36M,-24.39%
01-05-2021,"1,348.85","1,135.00","1,400.00","1,120.20",75.61M,17.21%
01-04-2021,"1,150.75",985,"1,249.95",950,50.40M,19.71%
01-03-2021,961.25,523.3,971.35,516.5,58.84M,87.67%
01-02-2021,512.2,385.25,542.8,376.2,42.81M,34.42%
01-01-2021,381.05,377.4,389.4,341,23.51M,1.45%
01-12-2020,375.6,358.9,389.65,315,67.38M,7.96%
01-11-2020,347.9,221.4,365.75,212,121.50M,57.78%
01-10-2020,220.5,192.95,224,180.25,33.15M,16.54%
01-09-2020,189.2,171.7,215,168.25,67.71M,11.46%
01-08-2020,169.75,153.1,196.5,151.5,53.25M,10.41%
01-07-2020,153.75,151.25,167.1,143.1,33.46M,0.75%
01-06-2020,152.6,119.6,176.65,116.7,92.38M,29.93%
01-05-2020,117.45,100.25,121.4,96.6,52.18M,11.49%
01-04-2020,105.35,86.9,109.9,85,40.67M,22.00%
01-03-2020,86.35,140.3,146.4,76.6,48.55M,-35.58%
01-02-2020,134.05,165.95,194.5,125.3,69.57M,-19.44%
01-01-2020,166.4,163.4,185.6,148.75,66.97M,2.27%
01-12-2019,162.7,161.5,167.7,148.75,28.99M,0.84%
01-11-2019,161.35,147.45,168.7,145.95,24.19M,9.69%
01-10-2019,147.1,130.9,163,127.4,25.05M,13.85%
01-09-2019,129.2,139.9,144.8,128.1,11.62M,-8.01%
01-08-2019,140.45,149.65,166.9,139,9.36M,-8.23%
01-07-2019,153.05,169.8,181,148.55,14.12M,-10.02%
01-06-2019,170.1,167,184.15,155.4,21.77M,3.18%
01-05-2019,164.85,132,174.5,113.05,32.37M,23.02%
01-04-2019,134,129.5,153.8,128.1,18.40M,4.12%
01-03-2019,128.7,102.1,135.5,100.6,14.94M,26.18%
01-02-2019,102,92.05,103.9,84,10.39M,10.33%
01-01-2019,92.45,101.25,103.5,88.3,13.38M,-8.28%
01-12-2018,100.8,99,110.7,91,29.29M,2.08%
