Date,Price,Open,High,Low,Vol.,Change %
01-12-2023,265.93,232.07,290.93,229.37,385.04M,14.82%
01-11-2023,231.6,166.33,234,166.27,317.67M,40.25%
01-10-2023,165.13,171,177.67,159.47,103.28M,-2.84%
01-09-2023,169.97,166.33,179.27,164.13,146.62M,2.76%
01-08-2023,165.4,187.67,191.3,164.53,126.38M,-12.15%
01-07-2023,188.27,184,206.6,181.73,168.27M,3.12%
01-06-2023,182.57,175.33,186.33,168.87,115.18M,4.96%
01-05-2023,173.93,167.53,179.33,166.97,101.42M,3.84%
01-04-2023,167.5,153.33,169,146.73,68.86M,6.10%
01-03-2023,157.87,144.17,165.93,142.7,123.72M,10.01%
01-02-2023,143.5,158,160.4,141.1,117.35M,-9.52%
01-01-2023,158.6,157.3,174,152.17,133.43M,1.17%
01-12-2022,156.77,159.4,168.67,148.87,129.29M,-1.65%
01-11-2022,159.4,142.53,161,134,110.60M,11.81%
01-10-2022,142.57,144.93,148.73,133.37,80.12M,-1.13%
01-09-2022,144.2,162.33,170,142.43,119.32M,-11.19%
01-08-2022,162.37,161.2,177.73,156.67,163.73M,1.00%
01-07-2022,160.77,145.33,163.93,144.13,143.77M,11.03%
01-06-2022,144.8,153.33,163.27,137.67,174.96M,-4.65%
01-05-2022,151.87,180,185.13,150.53,132.66M,-15.72%
01-04-2022,180.2,179.97,204.47,179.6,113.55M,0.35%
01-03-2022,179.57,180,197.27,174.87,230.30M,-1.43%
01-02-2022,182.17,206.67,206.67,175.37,117.19M,-13.01%
01-01-2022,209.4,195.27,221.47,194.9,101.56M,7.44%
01-12-2021,194.9,196.8,208.07,183.17,87.87M,-0.93%
01-11-2021,196.73,210.03,236.53,194.7,130.38M,-4.93%
01-10-2021,206.93,199.73,226.47,198,146.45M,3.47%
01-09-2021,200,179.23,201.87,175.77,148.64M,12.53%
01-08-2021,177.73,174.87,184.9,163,96.19M,2.09%
01-07-2021,174.1,196.5,206.3,173.67,142.18M,-10.93%
01-06-2021,195.47,186.73,208,186.67,180.12M,4.83%
01-05-2021,186.47,155.3,194.53,154,230.53M,19.20%
01-04-2021,156.43,157.33,163.5,148.53,163.46M,0.06%
01-03-2021,156.33,164.27,171.93,150.6,211.65M,-3.28%
01-02-2021,161.63,147.27,172.83,141.53,291.48M,10.91%
01-01-2021,145.73,146.17,158.4,142.7,218.95M,0.32%
01-12-2020,145.27,140,156.27,135.93,258.38M,4.08%
01-11-2020,139.57,125.33,148.93,120.77,277.91M,11.56%
01-10-2020,125.1,120.93,126.4,108.6,235.18M,3.88%
01-09-2020,120.43,133.33,136.53,113.9,233.79M,-10.37%
01-08-2020,134.37,143.33,148.67,133.67,255.50M,-6.26%
01-07-2020,143.33,145.47,160.47,133.67,280.48M,-0.81%
01-06-2020,144.5,130.87,161.4,128.2,271.51M,11.41%
01-05-2020,129.7,140.67,146.67,113.57,201.20M,-11.69%
01-04-2020,146.87,126.73,152.33,117.03,189.12M,15.89%
01-03-2020,126.73,133.8,151.23,100,267.67M,-3.77%
01-02-2020,131.7,154.2,163.33,129.67,119.19M,-15.01%
01-01-2020,154.97,176.6,180.43,154.23,157.05M,-12.12%
01-12-2019,176.33,188.4,189.3,171.9,95.89M,-6.40%
01-11-2019,188.4,214.77,218.3,187.03,145.12M,-13.11%
01-10-2019,216.83,206.67,219.17,198.77,190.74M,7.81%
01-09-2019,201.13,171.57,208.47,162.83,252.20M,15.97%
01-08-2019,173.43,176.33,179.47,149.17,131.17M,-2.22%
01-07-2019,177.37,193,200.83,166.63,155.19M,-8.27%
01-06-2019,193.37,222.2,222.33,188.9,142.30M,-10.55%
01-05-2019,216.17,194.5,221.33,173.33,249.75M,11.33%
01-04-2019,194.17,189.33,196.57,164,201.70M,2.61%
01-03-2019,189.23,149.67,194.67,148.9,248.63M,27.09%
01-02-2019,148.9,156.47,159.53,140.8,135.29M,-4.35%
01-01-2019,155.67,169.07,172.33,151.23,147.42M,-7.80%
01-12-2018,168.83,153.2,172.4,144,224.83M,8.99%
01-11-2018,154.9,150.93,174.53,148.77,271.83M,3.66%
01-10-2018,149.43,166.7,171.3,108.67,531.85M,-10.86%
01-09-2018,167.63,170.6,176.23,155.63,155.09M,-0.93%
01-08-2018,169.2,192.6,197.67,167.13,150.38M,-10.88%
01-07-2018,189.87,173.6,195.73,167.07,190.74M,9.88%
01-06-2018,172.8,209.33,216.9,171.03,197.15M,-16.88%
01-05-2018,207.9,205,220.1,181.53,243.22M,2.41%
01-04-2018,203,231.33,246.67,193.37,193.85M,-11.70%
01-03-2018,229.9,251.33,257,215.67,89.83M,-9.29%
01-02-2018,253.43,264.87,273.2,243.47,125.14M,-4.41%
01-01-2018,265.13,279.33,290,248.07,164.23M,-4.99%
