Date,Price,Open,High,Low,Vol.,Change %
01-12-2023,205.05,195.25,212,192.05,349.35M,5.18%
01-11-2023,194.95,186.15,203.4,185.05,208.28M,4.73%
01-10-2023,186.15,189.3,189.8,179.9,186.61M,-2.97%
01-09-2023,191.85,174.4,192.25,174.4,236.35M,10.16%
01-08-2023,174.15,175.3,180.45,171.5,142.54M,-1.64%
01-07-2023,177.05,160.3,177.5,160,171.74M,10.45%
01-06-2023,160.3,154.7,161,152.55,231.78M,3.49%
01-05-2023,154.9,159.5,169,150.05,323.71M,-2.55%
01-04-2023,158.95,154.5,161.8,150,179.73M,5.23%
01-03-2023,151.05,152,159.7,146.5,197.39M,-0.66%
01-02-2023,152.05,145.8,158.8,140.1,237.98M,4.93%
01-01-2023,144.9,147.3,154.15,143.25,299.01M,-1.26%
01-12-2022,146.75,141.45,150.5,139.2,298.52M,4.00%
01-11-2022,141.1,134.1,143.8,132.9,284.75M,5.26%
01-10-2022,134.05,131.7,136.55,125.8,264.30M,5.72%
01-09-2022,126.8,135,136.25,121.5,329.38M,-8.51%
01-08-2022,138.6,134.1,141.9,129.8,481.69M,3.32%
01-07-2022,134.15,148.95,151.15,119.85,792.07M,-11.48%
01-06-2022,151.55,151.2,167.35,130,757.50M,0.20%
01-05-2022,151.25,158.15,168.4,141.1,452.35M,-5.73%
01-04-2022,160.45,163.9,179.8,159.5,309.59M,-2.10%
01-03-2022,163.9,165.65,194.95,161.15,879.98M,2.02%
01-02-2022,160.65,174,176.35,155.8,401.51M,-6.92%
01-01-2022,172.6,142.35,174.85,141.2,373.48M,21.21%
01-12-2021,142.4,142.4,150.5,131.65,228.70M,0.21%
01-11-2021,142.1,150,162.25,141.1,357.50M,-4.66%
01-10-2021,149.05,145.2,172.75,144.1,685.08M,3.15%
01-09-2021,144.5,121.8,148.8,117.5,543.96M,19.87%
01-08-2021,120.55,114.95,121,108.5,281.21M,4.55%
01-07-2021,115.3,117.75,125,111.6,310.97M,-2.04%
01-06-2021,117.7,114.35,128.5,114.2,693.57M,3.56%
01-05-2021,113.65,108.15,121.15,106,559.24M,5.09%
01-04-2021,108.15,103,112.7,97.45,413.02M,5.87%
01-03-2021,102.15,114.3,122.35,100.25,655.22M,-7.97%
01-02-2021,111,89,120.5,88.45,824.46M,25.71%
01-01-2021,88.3,93.75,107.9,87.75,608.64M,-5.10%
01-12-2020,93.05,78.5,105.6,77.05,981.75M,18.54%
01-11-2020,78.5,65.4,81.8,64.2,481.31M,20.96%
01-10-2020,64.9,67.5,73.35,64.1,426.81M,-6.28%
01-09-2020,69.25,82.75,82.8,65.5,438.86M,-15.50%
01-08-2020,81.95,78.35,85.5,75.55,400.77M,4.66%
01-07-2020,78.3,79,84.9,75,376.04M,-3.75%
01-06-2020,81.35,85,93.1,80,546.50M,-2.22%
01-05-2020,83.2,76,83.75,72.4,430.80M,4.13%
01-04-2020,79.9,67,81.05,60.8,522.48M,16.98%
01-03-2020,68.3,94,95,50,1.13B,-25.72%
01-02-2020,91.95,109,109.75,89.5,457.64M,-15.60%
01-01-2020,108.95,128.75,133.4,106.75,345.49M,-15.41%
01-12-2019,128.8,131.05,131.45,124.05,168.14M,-2.24%
01-11-2019,131.75,140.55,149.65,129.25,165.12M,-7.02%
01-10-2019,141.7,131.5,146.15,123.95,229.64M,7.51%
01-09-2019,131.8,120.5,140.85,115.55,271.43M,8.75%
01-08-2019,121.2,138.5,139.75,115.75,234.73M,-12.71%
01-07-2019,138.85,168.2,170.4,136.25,284.76M,-17.23%
01-06-2019,167.75,173,173.5,162.95,184.56M,-2.44%
01-05-2019,171.95,169.3,178.9,160.85,229.11M,1.63%
01-04-2019,169.2,160.5,171.15,153.3,322.75M,5.92%
01-03-2019,159.75,149.9,163.2,145.7,339.47M,7.47%
01-02-2019,148.65,141,150.75,127.6,280.62M,5.24%
01-01-2019,141.25,150,150.1,138.5,185.62M,-5.77%
01-12-2018,149.9,140.95,151.5,134.75,288.39M,6.84%
01-11-2018,140.3,155.5,165,137.65,182.51M,-8.45%
01-10-2018,153.25,179.3,183.5,144.7,215.18M,-13.52%
01-09-2018,177.2,180.75,185.4,166.2,121.62M,-1.58%
01-08-2018,180.05,165.25,181.9,162.5,134.22M,8.66%
01-07-2018,165.7,157.85,166.75,152.45,144.37M,4.61%
01-06-2018,158.4,176,176,151.8,134.88M,-10.96%
01-05-2018,177.9,181.5,192,155.15,183.06M,-1.47%
01-04-2018,180.55,179.1,186.25,174.7,87.65M,1.55%
01-03-2018,177.8,187.9,190.2,173.6,88.38M,-5.58%
01-02-2018,188.3,204.05,207.05,180.1,128.67M,-7.45%
01-01-2018,203.45,195.2,212.85,192,198.60M,4.23%
